CountyFull,State,County,1972,1977,1978,1993,1994,1996,1999,2000,2004,2015,StateX,StateY,CountyX,CountyY,countyfull2,trimmed
Nash  NC,NC,Nash ,0,0,0,0,0,1,0,0,0,0,-83.4271011,32.6385994,-77.9863968,-77.9863968,"Nash, NC",Nash
Nelson  KY,KY,Nelson ,0,0,0,0,1,1,0,0,1,0,-89.6533966,32.7128983,-85.4660034,-85.4660034,"Nelson, KY",Nelson
New Hanover  NC,NC,New Hanover ,0,0,0,1,0,0,0,0,0,0,-83.4271011,32.6385994,-77.8656006,-77.8656006,"New Hanover, NC",New Hanover
Newaygo  MI,MI,Newaygo ,0,0,1,0,0,0,1,0,0,0,,,,,"Newaygo, MI",Newaygo
Newton  GA,GA,Newton ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-83.8501968,-83.8501968,"Newton, GA",Newton
Nicholas  KY,KY,Nicholas ,0,0,0,1,1,1,0,0,0,0,-89.6533966,32.7128983,-84.0152969,-84.0152969,"Nicholas, KY",Nicholas
Northampton  NC,NC,Northampton ,0,0,0,0,0,2,0,0,0,0,-83.4271011,32.6385994,-77.3967972,-77.3967972,"Northampton, NC",Northampton
Oakland  MI,MI,Oakland ,0,0,1,0,0,0,1,1,0,0,,,,,"Oakland, MI",Oakland
Oceana  MI,MI,Oceana ,0,1,1,0,0,0,1,0,0,0,,,,,"Oceana, MI",Oceana
Oconee  GA,GA,Oconee ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-83.4371033,-83.4371033,"Oconee, GA",Oconee
Ogemaw  MI,MI,Ogemaw ,0,0,1,0,0,0,1,0,0,0,,,,,"Ogemaw, MI",Ogemaw
Ohio  KY,KY,Ohio ,0,0,0,0,0,1,0,0,0,0,-89.6533966,32.7128983,-86.8488998,-86.8488998,"Ohio, KY",Ohio
Oldham  KY,KY,Oldham ,0,0,0,0,0,1,0,0,0,0,-89.6533966,32.7128983,-85.4484024,-85.4484024,"Oldham, KY",Oldham
Ontonagon  MI,MI,Ontonagon ,0,0,1,0,0,0,0,0,0,0,,,,,"Ontonagon, MI",Ontonagon
Orange  NC,NC,Orange ,0,1,0,1,0,1,0,0,0,0,-83.4271011,32.6385994,-79.120697,-79.120697,"Orange, NC",Orange
Osceola  MI,MI,Osceola ,0,0,1,0,0,0,1,1,0,0,,,,,"Osceola, MI",Osceola
Oscoda  MI,MI,Oscoda ,0,0,1,0,0,0,1,0,0,0,,,,,"Oscoda, MI",Oscoda
Otsego  MI,MI,Otsego ,0,0,1,0,0,0,1,0,0,0,,,,,"Otsego, MI",Otsego
Ottawa  MI,MI,Ottawa ,0,1,1,0,0,0,1,1,0,0,,,,,"Ottawa, MI",Ottawa
Overton  TN,TN,Overton ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-85.2881012,-85.2881012,"Overton, TN",Overton
Owen  KY,KY,Owen ,0,0,0,0,0,1,0,0,1,0,-89.6533966,32.7128983,-84.8281021,-84.8281021,"Owen, KY",Owen
Owsley  KY,KY,Owsley ,0,0,0,1,1,1,0,0,0,0,-89.6533966,32.7128983,-83.6830978,-83.6830978,"Owsley, KY",Owsley
Pamlico  NC,NC,Pamlico ,0,0,0,1,0,0,0,0,0,0,-83.4271011,32.6385994,-76.6695023,-76.6695023,"Pamlico, NC",Pamlico
Pasquotank  NC,NC,Pasquotank ,0,0,0,0,0,1,0,0,0,0,-83.4271011,32.6385994,-76.2491989,-76.2491989,"Pasquotank, NC",Pasquotank
Paulding  GA,GA,Paulding ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-84.8673019,-84.8673019,"Paulding, GA",Paulding
Pender  NC,NC,Pender ,0,0,0,1,0,0,0,0,0,0,-83.4271011,32.6385994,-77.8883972,-77.8883972,"Pender, NC",Pender
Pendleton  KY,KY,Pendleton ,0,0,0,1,0,1,0,0,1,1,-89.6533966,32.7128983,-84.3602982,-84.3602982,"Pendleton, KY",Pendleton
Perry  AL,AL,Perry ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-87.2944031,-87.2944031,"Perry, AL",Perry
Perry  KY,KY,Perry ,0,0,0,1,1,1,0,0,0,1,-89.6533966,32.7128983,-83.2214966,-83.2214966,"Perry, KY",Perry
Person  NC,NC,Person ,0,1,0,1,0,1,0,0,0,0,-83.4271011,32.6385994,-78.9718018,-78.9718018,"Person, NC",Person
Pickens  AL,AL,Pickens ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-88.0886993,-88.0886993,"Pickens, AL",Pickens
Pickens  GA,GA,Pickens ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-84.4655991,-84.4655991,"Pickens, GA",Pickens
Pickett  TN,TN,Pickett ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-85.0749969,-85.0749969,"Pickett, TN",Pickett
Pierce  GA,GA,Pierce ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-82.2126999,-82.2126999,"Pierce, GA",Pierce
Pike  AL,AL,Pike ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-85.9409027,-85.9409027,"Pike, AL",Pike
Pike  GA,GA,Pike ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-84.3891983,-84.3891983,"Pike, GA",Pike
Pike  KY,KY,Pike ,0,0,0,1,0,1,0,0,0,1,-89.6533966,32.7128983,-82.3958969,-82.3958969,"Pike, KY",Pike
Pitt  NC,NC,Pitt ,0,0,0,0,0,1,0,0,0,0,-83.4271011,32.6385994,-77.3744965,-77.3744965,"Pitt, NC",Pitt
Polk  GA,GA,Polk ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-85.1882019,-85.1882019,"Polk, GA",Polk
Polk  NC,NC,Polk ,0,0,0,1,0,2,0,0,0,0,-83.4271011,32.6385994,-82.1697006,-82.1697006,"Polk, NC",Polk
Polk  TN,TN,Polk ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-84.5233002,-84.5233002,"Polk, TN",Polk
Powell  KY,KY,Powell ,0,0,0,1,1,1,0,0,0,1,-89.6533966,32.7128983,-83.8237991,-83.8237991,"Powell, KY",Powell
Presque Isle  MI,MI,Presque Isle ,0,0,1,0,0,0,0,0,0,0,,,,,"Presque Isle, MI",Presque Isle
Pulaski  KY,KY,Pulaski ,0,0,0,1,1,1,0,0,0,0,-89.6533966,32.7128983,-84.5772018,-84.5772018,"Pulaski, KY",Pulaski
Putnam  TN,TN,Putnam ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-85.4952011,-85.4952011,"Putnam, TN",Putnam
Rabun  GA,GA,Rabun ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-83.4020996,-83.4020996,"Rabun, GA",Rabun
Randolph  AL,AL,Randolph ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-85.4590988,-85.4590988,"Randolph, AL",Randolph
Randolph  NC,NC,Randolph ,0,0,0,0,0,2,0,0,0,0,-83.4271011,32.6385994,-79.8059998,-79.8059998,"Randolph, NC",Randolph
Rhea  TN,TN,Rhea ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-84.9244003,-84.9244003,"Rhea, TN",Rhea
Roane  TN,TN,Roane ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-84.523201,-84.523201,"Roane, TN",Roane
Robertson  KY,KY,Robertson ,0,0,0,1,0,1,0,0,1,0,-89.6533966,32.7128983,-84.052002,-84.052002,"Robertson, KY",Robertson
Rockcastle  KY,KY,Rockcastle ,0,0,0,1,1,1,0,0,0,1,-89.6533966,32.7128983,-84.3159027,-84.3159027,"Rockcastle, KY",Rockcastle
Rockdale  GA,GA,Rockdale ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-84.0266037,-84.0266037,"Rockdale, GA",Rockdale
Rockingham  NC,NC,Rockingham ,0,1,0,1,0,2,0,0,0,0,-83.4271011,32.6385994,-79.7750015,-79.7750015,"Rockingham, NC",Rockingham
Roscommon  MI,MI,Roscommon ,0,0,1,0,0,0,0,0,0,0,,,,,"Roscommon, MI",Roscommon
Rowan  KY,KY,Rowan ,0,0,0,1,1,1,0,0,0,0,-89.6533966,32.7128983,-83.4210968,-83.4210968,"Rowan, KY",Rowan
Rowan  NC,NC,Rowan ,0,1,0,1,0,1,0,0,0,0,-83.4271011,32.6385994,-80.5248032,-80.5248032,"Rowan, NC",Rowan
Russell  AL,AL,Russell ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-85.1849976,-85.1849976,"Russell, AL",Russell
Russell  KY,KY,Russell ,0,0,0,1,1,1,0,0,0,0,-89.6533966,32.7128983,-85.0587006,-85.0587006,"Russell, KY",Russell
Rutherford  NC,NC,Rutherford ,0,0,0,1,0,2,0,0,0,0,-83.4271011,32.6385994,-81.9197998,-81.9197998,"Rutherford, NC",Rutherford
Rutherford  TN,TN,Rutherford ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-86.4167023,-86.4167023,"Rutherford, TN",Rutherford
Saginaw  MI,MI,Saginaw ,0,0,1,0,0,0,0,1,0,0,,,,,"Saginaw, MI",Saginaw
Sanilac  MI,MI,Sanilac ,0,1,1,0,0,0,0,1,0,0,,,,,"Sanilac, MI",Sanilac
Schoolcraft  MI,MI,Schoolcraft ,0,0,1,0,0,0,0,0,0,0,,,,,"Schoolcraft, MI",Schoolcraft
Scott  KY,KY,Scott ,0,0,0,1,0,1,0,0,0,0,-89.6533966,32.7128983,-84.5839005,-84.5839005,"Scott, KY",Scott
Scott  TN,TN,Scott ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-84.5035019,-84.5035019,"Scott, TN",Scott
Screven  GA,GA,Screven ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-81.6119003,-81.6119003,"Screven, GA",Screven
Sequatchie  TN,TN,Sequatchie ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-85.4105988,-85.4105988,"Sequatchie, TN",Sequatchie
Sevier  TN,TN,Sevier ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-83.5242004,-83.5242004,"Sevier, TN",Sevier
Shelby  AL,AL,Shelby ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-86.6606979,-86.6606979,"Shelby, AL",Shelby
Shelby  KY,KY,Shelby ,0,0,0,0,0,1,0,0,1,0,-89.6533966,32.7128983,-85.1948013,-85.1948013,"Shelby, KY",Shelby
Shiawassee  MI,MI,Shiawassee ,0,1,1,0,0,0,0,1,0,0,,,,,"Shiawassee, MI",Shiawassee
Simpson  KY,KY,Simpson ,0,0,0,1,1,1,0,0,0,1,-89.6533966,32.7128983,-86.5822983,-86.5822983,"Simpson, KY",Simpson
Smith  TN,TN,Smith ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-85.9567032,-85.9567032,"Smith, TN",Smith
Spencer  KY,KY,Spencer ,0,0,0,0,0,1,0,0,0,0,-89.6533966,32.7128983,-85.3279037,-85.3279037,"Spencer, KY",Spencer
St. Clair  AL,AL,St. Clair ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-86.3145981,-86.3145981,"St. Clair, AL",St. Clair
St. Clair  MI,MI,St. Clair ,0,0,1,0,0,0,0,1,0,0,,,,,"St. Clair, MI",St. Clair
St. Joseph  MI,MI,St. Joseph ,0,0,1,0,0,0,1,1,0,0,,,,,"St. Joseph, MI",St. Joseph
Stanly  NC,NC,Stanly ,0,0,0,0,0,1,0,0,0,0,-83.4271011,32.6385994,-80.2509995,-80.2509995,"Stanly, NC",Stanly
Stephens  GA,GA,Stephens ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-83.2934036,-83.2934036,"Stephens, GA",Stephens
Stokes  NC,NC,Stokes ,0,1,0,1,0,2,0,0,0,0,-83.4271011,32.6385994,-80.239502,-80.239502,"Stokes, NC",Stokes
Sullivan  TN,TN,Sullivan ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-82.3041,-82.3041,"Sullivan, TN",Sullivan
Sumter  AL,AL,Sumter ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-88.1987991,-88.1987991,"Sumter, AL",Sumter
Surry  NC,NC,Surry ,0,1,0,1,0,2,0,0,0,0,-83.4271011,32.6385994,-80.6881027,-80.6881027,"Surry, NC",Surry
Swain  NC,NC,Swain ,0,0,0,1,0,1,0,0,0,0,-83.4271011,32.6385994,-83.4926987,-83.4926987,"Swain, NC",Swain
Talladega  AL,AL,Talladega ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-86.1659012,-86.1659012,"Talladega, AL",Talladega
Tallapoosa  AL,AL,Tallapoosa ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-85.7975006,-85.7975006,"Tallapoosa, AL",Tallapoosa
Tattnall  GA,GA,Tattnall ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-82.058197,-82.058197,"Tattnall, GA",Tattnall
Taylor  KY,KY,Taylor ,0,0,0,1,1,1,0,0,0,1,-89.6533966,32.7128983,-85.3277969,-85.3277969,"Taylor, KY",Taylor
Telfair  GA,GA,Telfair ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-82.939003,-82.939003,"Telfair, GA",Telfair
Thomas  GA,GA,Thomas ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-83.9192963,-83.9192963,"Thomas, GA",Thomas
Tift  GA,GA,Tift ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-83.5266037,-83.5266037,"Tift, GA",Tift
Todd  KY,KY,Todd ,0,0,0,0,1,1,0,0,1,0,-89.6533966,32.7128983,-87.1791992,-87.1791992,"Todd, KY",Todd
Toombs  GA,GA,Toombs ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-82.3312988,-82.3312988,"Toombs, GA",Toombs
Towns  GA,GA,Towns ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-83.7372971,-83.7372971,"Towns, GA",Towns
Transylvania  NC,NC,Transylvania ,0,0,0,1,0,1,0,0,0,0,-83.4271011,32.6385994,-82.7983017,-82.7983017,"Transylvania, NC",Transylvania
Trigg  KY,KY,Trigg ,0,0,0,0,1,1,0,0,1,0,-89.6533966,32.7128983,-87.8733978,-87.8733978,"Trigg, KY",Trigg
Trimble  KY,KY,Trimble ,0,0,0,0,0,1,0,0,0,0,-89.6533966,32.7128983,-85.3376007,-85.3376007,"Trimble, KY",Trimble
Trousdale  TN,TN,Trousdale ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-86.1567993,-86.1567993,"Trousdale, TN",Trousdale
Tuscaloosa  AL,AL,Tuscaloosa ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-87.5250015,-87.5250015,"Tuscaloosa, AL",Tuscaloosa
Tuscola  MI,MI,Tuscola ,0,0,1,0,0,0,0,1,0,0,,,,,"Tuscola, MI",Tuscola
Unicoi  TN,TN,Unicoi ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-82.4322968,-82.4322968,"Unicoi, TN",Unicoi
Union  GA,GA,Union ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-83.9906998,-83.9906998,"Union, GA",Union
Union  KY,KY,Union ,0,0,0,0,0,1,0,0,1,1,-89.6533966,32.7128983,-87.9453964,-87.9453964,"Union, KY",Union
Union  NC,NC,Union ,0,0,0,0,0,1,0,0,0,0,-83.4271011,32.6385994,-80.5307007,-80.5307007,"Union, NC",Union
Union  TN,TN,Union ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-83.8375015,-83.8375015,"Union, TN",Union
Upson  GA,GA,Upson ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-84.2993011,-84.2993011,"Upson, GA",Upson
Van Buren  MI,MI,Van Buren ,0,1,1,0,0,0,1,1,0,0,,,,,"Van Buren, MI",Van Buren
Van Buren  TN,TN,Van Buren ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-85.4525986,-85.4525986,"Van Buren, TN",Van Buren
Vance  NC,NC,Vance ,0,1,0,1,0,1,0,0,0,0,-83.4271011,32.6385994,-78.4078979,-78.4078979,"Vance, NC",Vance
Wake  NC,NC,Wake ,0,1,0,1,0,1,0,0,0,0,-83.4271011,32.6385994,-78.6502991,-78.6502991,"Wake, NC",Wake
Walker  AL,AL,Walker ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-87.2974014,-87.2974014,"Walker, AL",Walker
Walker  GA,GA,Walker ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-85.3010025,-85.3010025,"Walker, GA",Walker
Walton  GA,GA,Walton ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-83.7338028,-83.7338028,"Walton, GA",Walton
Ware  GA,GA,Ware ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-82.4236984,-82.4236984,"Ware, GA",Ware
Warren  KY,KY,Warren ,0,0,0,1,1,1,0,0,0,0,-89.6533966,32.7128983,-86.4237976,-86.4237976,"Warren, KY",Warren
Warren  NC,NC,Warren ,0,1,0,1,0,2,0,0,0,0,-83.4271011,32.6385994,-78.1066971,-78.1066971,"Warren, NC",Warren
Warren  TN,TN,Warren ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-85.7785034,-85.7785034,"Warren, TN",Warren
Washington  AL,AL,Washington ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-88.207901,-88.207901,"Washington, AL",Washington
Washington  GA,GA,Washington ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-82.7958984,-82.7958984,"Washington, GA",Washington
Washington  KY,KY,Washington ,0,0,0,1,1,1,0,0,0,1,-89.6533966,32.7128983,-85.1746979,-85.1746979,"Washington, KY",Washington
Washington  TN,TN,Washington ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-82.4973984,-82.4973984,"Washington, TN",Washington
Washtenaw  MI,MI,Washtenaw ,0,0,1,0,0,0,1,1,0,0,,,,,"Washtenaw, MI",Washtenaw
Watauga  NC,NC,Watauga ,0,0,0,1,0,2,0,0,0,0,-83.4271011,32.6385994,-81.6964035,-81.6964035,"Watauga, NC",Watauga
Wayne  GA,GA,Wayne ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-81.9168015,-81.9168015,"Wayne, GA",Wayne
Wayne  KY,KY,Wayne ,0,0,0,1,1,1,0,0,0,1,-89.6533966,32.7128983,-84.828598,-84.828598,"Wayne, KY",Wayne
Wayne  MI,MI,Wayne ,0,0,1,0,0,0,1,0,0,0,,,,,"Wayne, MI",Wayne
Webster  KY,KY,Webster ,0,0,0,0,0,1,0,0,1,0,-89.6533966,32.7128983,-87.683197,-87.683197,"Webster, KY",Webster
Wexford  MI,MI,Wexford ,0,0,1,0,0,0,0,0,0,0,,,,,"Wexford, MI",Wexford
White  GA,GA,White ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-83.7471008,-83.7471008,"White, GA",White
White  TN,TN,White ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-85.4552002,-85.4552002,"White, TN",White
Whitfield  GA,GA,Whitfield ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-84.9672012,-84.9672012,"Whitfield, GA",Whitfield
Whitley  KY,KY,Whitley ,0,0,0,1,1,1,0,0,0,0,-89.6533966,32.7128983,-84.1452026,-84.1452026,"Whitley, KY",Whitley
Wilcox  AL,AL,Wilcox ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-87.308197,-87.308197,"Wilcox, AL",Wilcox
Wilkes  NC,NC,Wilkes ,0,0,0,1,0,2,0,0,0,0,-83.4271011,32.6385994,-81.1633987,-81.1633987,"Wilkes, NC",Wilkes
Wilson  NC,NC,Wilson ,0,1,0,0,0,1,0,0,0,0,-83.4271011,32.6385994,-77.9187012,-77.9187012,"Wilson, NC",Wilson
Wilson  TN,TN,Wilson ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-86.297699,-86.297699,"Wilson, TN",Wilson
Winston  AL,AL,Winston ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-87.373703,-87.373703,"Winston, AL",Winston
Wolfe  KY,KY,Wolfe ,0,0,0,1,1,1,0,0,0,1,-89.6533966,32.7128983,-83.4932022,-83.4932022,"Wolfe, KY",Wolfe
Woodford  KY,KY,Woodford ,0,0,0,1,0,1,0,0,0,1,-89.6533966,32.7128983,-84.7435989,-84.7435989,"Woodford, KY",Woodford
Yadkin  NC,NC,Yadkin ,0,1,0,1,0,2,0,0,0,0,-83.4271011,32.6385994,-80.6651993,-80.6651993,"Yadkin, NC",Yadkin
Yancey  NC,NC,Yancey ,0,0,0,1,0,2,0,0,0,0,-83.4271011,32.6385994,-82.3076019,-82.3076019,"Yancey, NC",Yancey
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
